country_code,i_hdi,country_name,scipub,scipub_ln
12,0.74,Argentina,44008,10.69212671
13,0.694,Armenia,3166,8.06022424
17,0.853,Australia,316451,12.66492369
159,0.845,Austria,81661,11.31033181
20,0.423,Bangladesh,9580,9.167432871
22,0.751,Belarus,5146,8.545974993
23,0.852,Belgium,114891,11.65173913
27,0.423,Bhutan,213,5.361292166
28,0.523,Bolivia,1361,7.215975003
29,0.641,Bosnia and Herzegovina,3108,8.041734711
30,0.477,Botswana,1163,7.058758153
32,0.57,Brazil,246294,12.41428122
217,,British Indian Ocean Territory,236,5.463831805
34,0.735,Brunei,747,6.616065185
35,0.705,Bulgaria,11891,9.38353709
94,0.339,Cameroon,3346,8.115520882
95,0.851,Canada,390215,12.87445315
38,0.714,Chile,37100,10.52137225
39,0.621,China PR,1721818,14.35889127
103,0.585,Colombia,31833,10.36825877
108,0.779,Croatia,16593,9.716736199
218,0.845,Czech Republic,69711,11.1521134
43,0.887,Denmark,95109,11.46277888
47,0.601,Dominican Republic,383,5.948034989
2,0.534,Egypt,39782,10.59116983
51,,Eritrea,,
52,0.804,Estonia,9263,9.133783249
16,0.297,Ethiopia,4470,8.405143688
55,,Fiji,800,6.684611728
56,0.879,Finland,63687,11.06173574
57,0.811,France,369875,12.82092039
45,0.87,Germany,571165,13.25543341
63,0.373,Ghana,3886,8.26513563
66,0.766,Greece,61296,11.02346987
74,,Guyana,319,5.765191103
78,0.821,Hongkong,2397,7.781973234
226,0.786,Hungary,35198,10.46874454
79,0.425,India,314248,12.65793776
80,0.568,Indonesia,16305,9.699227088
82,0.588,Iran,111635,11.6229899
81,0.499,Iraq,4327,8.37262974
83,0.858,Ireland,52640,10.87123157
85,0.794,Israel,73254,11.20168813
86,0.766,Italy,335658,12.72384806
87,0.588,Jamaica,1091,6.994849986
88,0.837,Japan,492459,13.10716649
90,0.611,Jordan,5872,8.67795057
99,0.408,Kenya,7267,8.891098831
113,0.779,Latvia,6280,8.745125259
116,,Libya,1202,7.091742115
119,0.831,Luxemburg,5634,8.636574948
133,0.676,Macedonia,1971,7.586296307
122,0.333,Malawi,1707,7.442492723
123,0.681,Malaysia,65005,11.08221947
134,0.609,Mexico,68537,11.13512902
127,0.467,Morocco,10489,9.258082368
149,0.864,Netherlands,208579,12.24807315
147,0.858,New Zealand,46373,10.74447267
152,0.348,Nigeria,13942,9.542661146
156,0.898,Norway,61884,11.03301694
157,0.678,Oman,3285,8.097121931
160,0.346,Pakistan,32244,10.38108726
164,0.389,Papua New Guinea,573,6.350885717
165,0.575,Paraguay,856,6.752270376
167,0.566,Philippines,7149,8.874727766
169,0.796,Poland,118592,11.68344431
170,0.737,Portugal,137898,11.83426956
98,,Qatar,7959,8.982058643
174,0.715,Romania,53016,10.87834903
175,0.746,Russia,151773,11.93014126
181,,Saudi Arabia,48211,10.78334249
185,0.709,Serbia,26239,10.17500213
187,0.264,Sierra Leone,309,5.733341277
189,0.808,Singapore,65713,11.09305205
191,0.861,Slovenia,17949,9.795289682
201,0.456,South Africa,63139,11.05309392
107,0.824,South Korea,246279,12.41422032
193,0.758,Spain,288707,12.57316761
195,0.61,Sri Lanka,3951,8.28172399
182,0.869,Sweden,143338,11.87296076
183,0.883,Switzerland,163471,12.00439088
209,,Taiwan,123648,11.7251941
211,0.663,Thailand,36211,10.49711822
215,,Trinidad and Tobago,1219,7.105786129
220,0.684,Turkey,141857,11.86257479
225,0.708,Ukraine,23452,10.06271106
232,0.745,United Arab Emirates,13991,9.546169545
68,0.849,United Kingdom,853107,13.65664026
233,0.812,United States,3070056,14.93720636
228,,Uzbekistan,1952,7.576609767
231,0.652,Venezuela,6034,8.70516542
234,0.582,Vietnam,12185,9.407960966
33,,Virgin Islands (British),,
89,0.297,Yemen,835,6.727431725
177,0.334,Zambia,1383,7.232010332
